activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,action_taken
2019,5493001U0HWKEN6OLT59,36084,CA,6013,6013345114,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,0,2,1,2,1,2,2,2,665000,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,267,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,35-44,No,No,1,2,6,,,,,10,,,,6516,14.18,111700,182,2379,2595,39,4
2019,5493001U0HWKEN6OLT59,31084,CA,6037,6037543602,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,72,2,1,2,1,2,2,2,415000,66.72,4.875,0.205,2,2894,NA,1230,,,360,NA,NA,2,2,2,2,625000,1,1,3,5,1,NA,65,49,7,7,2,,,,,2,,,,,2,2,2,23,,,,2,23,,,,2,2,1,2,2,2,65-74,55-64,Yes,Yes,1,2,1,,,,,10,,,,7920,86.62,73100,122,1970,2382,42,1
2019,5493001U0HWKEN6OLT59,11244,CA,6059,6059062644,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,0,2,1,1,1,2,2,2,1175000,61.842,3.875,0.164,2,9147.5,NA,1595,,,360,NA,NA,2,2,2,2,1905000,1,1,3,5,1,NA,279,42,7,7,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,55-64,55-64,No,No,1,2,6,,,,,10,,,,8714,17.72,97900,200,1493,2235,31,1
2019,5493001U0HWKEN6OLT59,31084,CA,6037,6037535002,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,71,2,1,2,1,2,2,2,205000,66.667,4.625,0.473,2,6419,NA,4730,3500,,360,NA,NA,2,2,2,2,305000,1,1,3,5,1,NA,97,44,7,7,1,11,,,,1,11,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,55-64,55-64,No,No,1,2,1,,,,,10,,,,3518,97.53,73100,51,269,779,64,1
2019,5493001U0HWKEN6OLT59,31084,CA,6037,6037408705,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,71,2,1,2,1,2,2,2,335000,53.952,4.5,0.186,2,3284,NA,1595,,,360,NA,NA,2,2,2,2,625000,1,1,3,5,1,NA,61,42,7,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,1,2,2,,,,,10,,,,5525,89.29,73100,91,1185,1512,45,1
2019,5493001U0HWKEN6OLT59,11244,CA,6059,6059062637,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,0,2,1,31,1,2,2,2,115000,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,43,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,2,2,2,65-74,65-74,Yes,Yes,1,2,1,,,,,10,,,,4334,38.07,97900,116,742,835,19,4
2019,5493001U0HWKEN6OLT59,11244,CA,6059,6059099230,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,0,2,1,2,1,2,2,2,455000,75,4.5,NA,3,8099,NA,6095,4500,160,360,NA,NA,2,2,2,2,605000,1,3,3,5,1,NA,235,30%-<36%,7,7,2,,,,,2,,,,,2,2,2,21,,,,2,21,,,,2,2,1,2,2,2,55-64,45-54,No,No,1,2,1,,,,,10,,,,4740,37.7,97900,111,1112,1420,44,1
2019,5493001U0HWKEN6OLT59,37100,CA,6111,6111005304,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,0,2,1,2,1,2,2,2,185000,34.524,5.157,0.853,2,2454.89,NA,1230,,,360,NA,NA,2,2,2,2,555000,1,1,3,5,1,NA,42,>60%,7,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,>74,9999,Yes,NA,1,2,6,,,,,10,,,,4950,20.14,97800,93,2077,2805,38,1
2019,5493001U0HWKEN6OLT59,40140,CA,6065,6065030800,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,0,2,1,31,1,2,2,2,355000,NA,NA,NA,3,NA,NA,NA,NA,NA,240,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,86,NA,9,9,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,45-54,9999,No,NA,1,2,6,,,,,10,,,,7869,54.12,69700,116,1703,2148,57,4
2019,5493001U0HWKEN6OLT59,40140,CA,6071,6071004507,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,0,2,1,2,1,2,2,2,315000,80,4.375,0.69,2,2689.45,NA,1595,,,360,NA,NA,2,2,2,2,395000,1,1,3,5,1,NA,61,49,7,10,2,,,,,5,,,,,2,4,2,22,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,2,1,,,,,10,,,,5207,78.41,69700,57,577,1285,58,1
2019,5493001U0HWKEN6OLT59,31084,CA,6037,6037552100,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,0,2,1,2,1,2,2,2,65000,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,125,NA,9,9,1,11,12,,,1,11,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,45-54,No,No,1,2,6,,,,,10,,,,6161,85,73100,105,1025,1316,57,4
2019,5493001U0HWKEN6OLT59,31084,CA,6037,6037123700,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,0,2,1,2,1,2,2,2,445000,64.043,3.75,0.081,2,2941.36,NA,1595,,291.4,360,NA,NA,2,2,2,2,705000,1,1,3,5,1,NA,228,<20%,7,7,1,11,,,,1,11,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,25-34,25-34,No,No,1,2,1,,,,,10,,,,3721,30.64,73100,117,732,1075,60,1
2019,5493001U0HWKEN6OLT59,31084,CA,6037,6037104103,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,71,2,1,2,1,2,2,2,435000,80,5.125,0,2,2894,NA,1230,,2520.08,360,NA,NA,2,2,2,2,545000,1,1,3,5,1,NA,100,41,7,10,1,11,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,2,1,,,,,10,,,,4019,94.63,73100,112,637,855,48,1
2019,5493001U0HWKEN6OLT59,40140,CA,6065,6065041912,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,0,2,2,2,1,2,2,2,45000,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,85,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,55-64,No,No,1,2,1,,,,,10,,,,5912,50.61,69700,187,1556,1828,27,5
2019,5493001U0HWKEN6OLT59,11244,CA,6059,6059075607,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,71,2,1,1,1,2,2,2,395000,74.286,4.375,0.334,2,5206.5,NA,1615,385,,360,NA,NA,2,2,2,2,525000,1,1,3,5,1,NA,100,46,7,10,2,,,,,5,,,,,2,4,2,22,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,NA,1,2,1,,,,,10,,,,6164,46.8,97900,123,1579,1638,0,1
2019,5493001U0HWKEN6OLT59,31084,CA,6037,6037900607,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,0,2,1,2,1,2,2,2,105000,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,170,NA,9,9,1,11,,,,1,11,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,45-54,No,No,1,2,1,,,,,10,,,,3653,75.86,73100,40,410,1083,43,4
2019,5493001U0HWKEN6OLT59,40140,CA,6065,6065044701,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,0,2,1,2,1,2,2,2,555000,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,93,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,1,2,1,,,,,10,,,,3342,44.49,69700,73,458,1093,42,4
2019,5493001U0HWKEN6OLT59,42034,CA,6041,6041101200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,0,2,1,2,1,2,2,2,515000,58.419,4.125,0,2,3426.81,NA,1595,,5,360,NA,84,2,2,2,2,875000,1,1,3,5,1,NA,300,<20%,7,7,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,35-44,No,No,1,2,6,,,,,10,,,,3056,35.05,151000,82,895,1135,43,1
2019,5493001U0HWKEN6OLT59,31084,CA,6037,6037139301,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,0,2,1,31,1,2,2,2,715000,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,84,2,2,2,2,NA,1,1,3,5,1,NA,145,NA,9,9,2,,,,,2,,,,,2,2,2,23,,,,2,23,,,,2,2,1,2,2,2,55-64,55-64,Yes,No,1,2,6,,,,,10,,,,4902,25.95,73100,133,1355,1648,57,4
2019,5493001U0HWKEN6OLT59,33700,CA,6099,6099000906,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,0,2,1,2,1,2,2,2,185000,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,67,NA,9,9,1,11,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,NA,1,2,1,,,,,10,,,,6486,35.52,64500,134,1444,1969,36,4
2019,5493001U0HWKEN6OLT59,40140,CA,6065,6065045605,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Female,0,2,1,31,1,2,2,2,235000,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,25,NA,9,9,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,2,5,2,4,65-74,9999,Yes,NA,1,2,6,,,,,10,,,,9431,85.87,69700,51,2038,3480,15,4
2019,5493001U0HWKEN6OLT59,41740,CA,6073,6073009802,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,71,2,1,2,1,2,2,2,455000,79.896,4.875,0.724,2,2934,NA,1595,,3220,360,NA,NA,2,2,2,2,575000,1,1,3,5,1,NA,77,46,7,10,1,11,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,2,1,,,,,10,,,,6628,39.35,86300,92,1317,1538,47,1
2019,5493001U0HWKEN6OLT59,31084,CA,6037,6037552900,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,71,2,1,2,1,1,2,2,305000,55.1,3.712,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,555000,1,1,3,5,1,NA,34,>60%,7,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,65-74,9999,Yes,NA,1,2,6,,,,,10,,,,6762,84.9,73100,96,962,1423,58,1
2019,5493001U0HWKEN6OLT59,11244,CA,6059,6059032011,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,72,2,1,2,1,2,2,2,255000,56.818,3.875,0.127,3,2769,NA,1230,,437,180,NA,NA,2,2,2,2,445000,1,2,3,5,1,NA,153,50%-60%,7,7,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,45-54,No,No,1,2,2,,,,,10,,,,1602,14.42,97900,118,513,769,69,1
2019,5493001U0HWKEN6OLT59,40140,CA,6071,6071008800,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,0,2,1,2,1,2,2,2,275000,80,4.124,0.442,2,4503.9,NA,2945,1350,,360,NA,NA,2,2,2,2,345000,1,1,3,5,1,NA,84,30%-<36%,7,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,>74,9999,Yes,NA,1,2,1,,,,,10,,,,6054,37.97,69700,92,997,2397,53,1
2019,5493001U0HWKEN6OLT59,31084,CA,6037,6037543306,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,0,2,1,2,1,2,2,2,435000,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,0,NA,9,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,>74,>74,Yes,Yes,1,2,6,,,,,10,,,,7212,90.22,73100,145,1479,1770,45,4
2019,5493001U0HWKEN6OLT59,31084,CA,6037,6037620521,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,71,2,1,1,1,2,2,2,935000,80,3.875,-0.252,2,23932.19,NA,18306.64,17306.64,,360,NA,NA,2,2,2,2,1175000,1,1,3,5,1,NA,183,42,7,7,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,25-34,25-34,No,No,1,2,6,,,,,10,,,,3852,51.3,73100,166,646,1172,41,1
2019,5493001U0HWKEN6OLT59,11244,CA,6059,6059099305,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,0,2,1,2,1,2,2,2,335000,73.696,4.375,0.119,2,3454,NA,1595,,1000,360,NA,NA,2,2,2,2,465000,1,1,3,5,1,NA,107,30%-<36%,7,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,55-64,9999,No,NA,1,2,1,,,,,10,,,,7871,47.39,97900,76,764,2001,40,1
2019,5493001U0HWKEN6OLT59,11244,CA,6059,6059062644,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,0,2,1,2,1,2,2,2,1355000,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,360,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,45-54,No,No,1,2,6,,,,,10,,,,8714,17.72,97900,200,1493,2235,31,4
2019,5493001U0HWKEN6OLT59,11244,CA,6059,6059063009,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,0,2,1,1,1,2,2,2,1265000,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,195,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,25-34,25-34,No,No,1,2,6,,,,,10,,,,1673,21.52,97900,176,525,702,47,4
2019,5493001U0HWKEN6OLT59,31084,CA,6037,6037407302,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,72,2,1,2,1,2,2,2,165000,34.375,4.5,0.785,2,2769,NA,1230,,,180,NA,NA,2,2,2,2,485000,1,1,3,5,1,NA,153,40,7,7,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,65-74,65-74,Yes,Yes,1,2,1,,,,,10,,,,3905,93.73,73100,96,611,770,59,1
2019,5493001U0HWKEN6OLT59,31084,CA,6037,6037620001,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,0,2,1,2,1,2,2,2,845000,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,585,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,1,2,6,,,,,10,,,,4106,31.47,73100,180,687,1141,59,4
2019,5493001U0HWKEN6OLT59,42220,CA,6097,6097151000,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,0,2,1,31,1,2,2,2,415000,67.235,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,855000,1,1,3,5,1,NA,85,50%-60%,7,7,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,45-54,No,No,1,2,2,,,,,1,,,,3764,25.11,93300,110,820,1520,49,3
2019,5493001U0HWKEN6OLT59,31084,CA,6037,6037504101,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,71,2,3,2,1,2,2,2,465000,85.294,4.125,-0.015,2,18069,NA,1330,,100,360,NA,NA,2,2,2,2,545000,1,1,3,5,1,NA,143,30%-<36%,7,7,1,11,,,,1,11,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,45-54,No,No,1,2,1,,,,,10,,,,5240,83.11,73100,117,924,1088,56,1
2019,5493001U0HWKEN6OLT59,41740,CA,6073,6073008333,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,71,2,1,2,1,2,2,2,695000,50.956,4.125,-0.398,2,3409,NA,1230,,1400,360,NA,NA,2,2,2,2,1365000,1,1,3,5,1,NA,177,37,7,7,2,,,,,2,,,,,2,2,2,25,,,,2,25,,,,2,2,1,2,2,2,45-54,45-54,No,No,1,2,6,,,,,10,,,,14721,50.23,86300,205,2774,3254,12,1
2019,5493001U0HWKEN6OLT59,40140,CA,6065,6065042741,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Joint,Joint,71,2,2,2,1,1,2,2,145000,48.58,4.31,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,295000,1,1,3,5,1,NA,37,36,7,7,2,,,,,2,,,,,2,2,5,,,,,3,,,,,2,2,2,1,2,2,>74,>74,Yes,Yes,1,2,6,,,,,10,,,,2186,24.38,69700,62,864,1474,43,1
2019,5493001U0HWKEN6OLT59,31084,CA,6037,6037402600,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,0,2,1,2,1,2,2,2,485000,69.691,4,0.342,2,3954.33,NA,2805.88,1210.88,,360,NA,NA,2,2,2,2,695000,1,1,3,5,1,NA,106,46,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,55-64,55-64,Yes,Yes,1,2,1,,,,,10,,,,6999,75.47,73100,74,1243,2199,76,1
